operaciones_ult_12m;gastos_ult_12m;limite_credito_tc;antiguedad_cliente;tasa_interes;ingresos;pct_ingreso;antiguedad_empleado;edad;estado_credito_N;estado_civil_N;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;personas_a_cargo
30_to_50;1k_to_4k;<3k;<25y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;2500;3;ALQUILER;EDUCACIÓN;Y;ACTIVO;F;0
>74;>10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;25_to_30;Cancelado;S;8400;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;D;7500;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;4750;2;ALQUILER;EDUCACIÓN;N;PASIVO;F;1
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;>10;25_to_30;Cancelado;C;10000;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;2
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;NA;<25;Cancelado;C;3000;3;HIPOTECA;SALUD;N;ACTIVO;F;0
>74;4k_to_6k;<3k;25y_to_50y;<6p;50k_to_100k;<20;5_to_10;<25;Cancelado;D;9000;4;ALQUILER;PERSONAL;N;ACTIVO;F;3
50_to_75;1k_to_4k;5k_to_10k;<25y;<6p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;6000;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;3
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;40_to_60;<5;25_to_30;Activo;C;20000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
>74;4k_to_6k;<3k;<25y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;13000;2;HIPOTECA;PERSONAL;N;ACTIVO;F;4
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;5000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;3000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;3
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;>100k;<20;>10;25_to_30;Cancelado;S;6000;2;ALQUILER;INVERSIONES;N;ACTIVO;F;2
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;25_to_30;Cancelado;C;10000;3;ALQUILER;PERSONAL;Y;PASIVO;M;5
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Activo;S;6000;2;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;4
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;>100k;<20;5_to_10;<25;Cancelado;C;1800;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;3
15_to_30;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Activo;C;22400;4;ALQUILER;INVERSIONES;Y;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;7500;2;HIPOTECA;PERSONAL;N;ACTIVO;F;4
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;6000;3;HIPOTECA;SALUD;N;ACTIVO;M;1
>74;4k_to_6k;5k_to_10k;25y_to_50y;<6p;20k_to_50k;<20;5_to_10;<25;Cancelado;D;5700;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
15_to_30;1k_to_4k;>10k;25y_to_50y;12p_to_18p;>100k;<20;<5;25_to_30;Cancelado;N;10000;4;HIPOTECA;SALUD;N;ACTIVO;M;0
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;C;6000;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;1
30_to_50;1k_to_4k;>10k;25y_to_50y;<6p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;C;2500;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;N;6000;3;HIPOTECA;SALUD;N;ACTIVO;M;4
>74;8k_to_10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;25_to_30;Cancelado;S;12000;2;HIPOTECA;INVERSIONES;N;ACTIVO;M;3
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;8500;2;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;1
30_to_50;1k_to_4k;>10k;<25y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Activo;C;25000;2;ALQUILER;SALUD;N;ACTIVO;F;3
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;25_to_30;Cancelado;S;20000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;>100k;<20;<5;<25;Cancelado;S;20000;2;ALQUILER;INVERSIONES;N;ACTIVO;M;4
50_to_75;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Activo;S;10400;4;ALQUILER;SALUD;N;ACTIVO;M;1
>74;4k_to_6k;<3k;>50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;C;5500;3;ALQUILER;INVERSIONES;N;ACTIVO;F;1
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;1000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
15_to_30;<1k;5k_to_10k;<25y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;S;13000;2;ALQUILER;INVERSIONES;Y;PASIVO;F;0
>74;4k_to_6k;>10k;<25y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;N;5700;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
>74;6k_to_8k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;C;9000;3;ALQUILER;INVERSIONES;Y;PASIVO;M;2
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;4000;2;ALQUILER;SALUD;N;ACTIVO;F;2
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;<20k;<20;<5;<25;Cancelado;S;2000;2;ALQUILER;INVERSIONES;Y;ACTIVO;F;0
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;N;5500;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;3
>74;6k_to_8k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Activo;S;8000;4;ALQUILER;SALUD;N;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;4500;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;0
15_to_30;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Activo;S;35000;2;ALQUILER;INVERSIONES;N;ACTIVO;M;1
>74;>10k;3k_to_5k;25y_to_50y;6p_to_12p;>100k;<20;5_to_10;25_to_30;Cancelado;C;8000;3;ALQUILER;INVERSIONES;N;ACTIVO;M;2
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Activo;C;3500;2;ALQUILER;PERSONAL;N;ACTIVO;M;2
>74;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;S;11500;2;HIPOTECA;SALUD;N;ACTIVO;F;3
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;5500;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;>10;25_to_30;Cancelado;N;5000;3;PROPIA;EDUCACIÓN;N;ACTIVO;M;4
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
15_to_30;<1k;>10k;25y_to_50y;6p_to_12p;<20k;40_to_60;<5;<25;Activo;C;6200;2;PROPIA;MEJORAS_HOGAR;N;ACTIVO;M;4
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;4000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
50_to_75;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;S;5000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;2
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;C;1000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;2
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;N;4500;3;HIPOTECA;INVERSIONES;N;ACTIVO;M;4
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Cancelado;S;17000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;4
>74;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;7200;2;ALQUILER;SALUD;N;ACTIVO;M;3
30_to_50;1k_to_4k;<3k;<25y;<6p;50k_to_100k;<20;<5;<25;Cancelado;C;2200;4;ALQUILER;SALUD;N;ACTIVO;M;1
30_to_50;1k_to_4k;5k_to_10k;<25y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;25_to_30;Cancelado;S;7000;3;PROPIA;INVERSIONES;N;ACTIVO;M;0
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;4500;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;4
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;8650;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;3
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;3000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;4
50_to_75;8k_to_10k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Activo;D;9500;3;ALQUILER;SALUD;N;PASIVO;M;2
>74;8k_to_10k;>10k;<25y;6p_to_12p;50k_to_100k;20_to_40;<5;25_to_30;Cancelado;S;17000;2;HIPOTECA;MEJORAS_HOGAR;N;PASIVO;M;1
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;S;4400;2;PROPIA;SALUD;N;ACTIVO;F;2
>74;4k_to_6k;3k_to_5k;<25y;12p_to_18p;20k_to_50k;20_to_40;<5;25_to_30;Cancelado;S;7500;3;ALQUILER;SALUD;Y;ACTIVO;F;2
50_to_75;4k_to_6k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;N;10000;4;HIPOTECA;INVERSIONES;N;ACTIVO;M;3
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;>100k;<20;5_to_10;<25;Cancelado;S;5000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
>74;4k_to_6k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;6000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
30_to_50;1k_to_4k;5k_to_10k;<25y;6p_to_12p;>100k;<20;5_to_10;25_to_30;Cancelado;C;18000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;4
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;3500;4;ALQUILER;EDUCACIÓN;Y;PASIVO;M;4
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;S;16000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;3
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;<20k;20_to_40;NA;<25;Activo;N;3700;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;0
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;N;3500;4;ALQUILER;EDUCACIÓN;N;PASIVO;M;4
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;25_to_30;Activo;S;8500;4;ALQUILER;INVERSIONES;Y;PASIVO;F;2
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;>10;25_to_30;Cancelado;C;7200;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;4
>74;>10k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;25_to_30;Cancelado;C;8000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;4
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Activo;C;9000;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
30_to_50;1k_to_4k;>10k;<25y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Activo;C;23575;4;ALQUILER;PERSONAL;N;ACTIVO;F;5
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;5000;4;ALQUILER;INVERSIONES;N;PASIVO;F;1
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;8950;4;HIPOTECA;PERSONAL;N;ACTIVO;M;2
>74;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;3500;3;HIPOTECA;PERSONAL;Y;ACTIVO;F;4
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;>100k;<20;5_to_10;<25;Cancelado;S;7000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;<20k;20_to_40;<5;<25;Activo;C;4000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;4
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;D;4850;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;2
50_to_75;4k_to_6k;>10k;<25y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;4000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;1
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Activo;C;5000;3;ALQUILER;PAGO_DEUDAS;Y;PASIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Cancelado;N;12000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;3
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;6400;4;ALQUILER;INVERSIONES;N;ACTIVO;F;2
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;5_to_10;<25;Activo;N;23975;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;2
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;N;4000;2;ALQUILER;SALUD;N;ACTIVO;F;4
50_to_75;8k_to_10k;>10k;>50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Cancelado;S;9000;4;ALQUILER;PERSONAL;Y;PASIVO;M;1
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;>100k;<20;<5;25_to_30;Cancelado;S;3000;2;ALQUILER;INVERSIONES;N;ACTIVO;M;3
30_to_50;1k_to_4k;<3k;>50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;3000;4;ALQUILER;SALUD;N;ACTIVO;M;0
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;6500;4;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;C;4000;3;ALQUILER;INVERSIONES;N;ACTIVO;F;1
>74;>10k;5k_to_10k;25y_to_50y;12p_to_18p;<20k;20_to_40;<5;<25;Activo;D;5000;4;ALQUILER;INVERSIONES;N;ACTIVO;M;0
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;40_to_60;5_to_10;<25;Activo;S;13250;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;3
>74;>10k;5k_to_10k;<25y;<6p;20k_to_50k;20_to_40;5_to_10;25_to_30;Activo;C;9000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;5
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Activo;C;21600;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;4
>74;>10k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;S;12000;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;2
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;4000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;5
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;4000;2;ALQUILER;INVERSIONES;N;ACTIVO;M;4
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;3000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;4
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;25_to_30;Activo;S;20000;2;ALQUILER;INVERSIONES;N;ACTIVO;F;4
>74;>10k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;9000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;4
>74;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;6000;2;PROPIA;INVERSIONES;N;ACTIVO;F;4
50_to_75;4k_to_6k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;S;4000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;0
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;6000;4;ALQUILER;SALUD;N;ACTIVO;F;1
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;D;5500;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
50_to_75;8k_to_10k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;9100;2;ALQUILER;SALUD;N;PASIVO;F;3
15_to_30;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Cancelado;S;20000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;5_to_10;<25;Activo;S;24000;4;HIPOTECA;SALUD;N;ACTIVO;F;3
50_to_75;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Activo;D;6000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;3
30_to_50;1k_to_4k;<3k;25y_to_50y;<6p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;7125;2;ALQUILER;EDUCACIÓN;N;PASIVO;F;3
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;3525;4;ALQUILER;SALUD;N;ACTIVO;F;1
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;4000;2;HIPOTECA;EDUCACIÓN;Y;PASIVO;F;2
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;N;4500;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;3
>74;>10k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;9500;4;ALQUILER;INVERSIONES;N;ACTIVO;M;1
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;>100k;<20;5_to_10;<25;Cancelado;C;16800;4;ALQUILER;INVERSIONES;N;ACTIVO;F;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;C;9000;3;ALQUILER;PERSONAL;N;ACTIVO;F;3
>74;4k_to_6k;<3k;25y_to_50y;<6p;50k_to_100k;<20;5_to_10;<25;Cancelado;N;5500;4;HIPOTECA;INVERSIONES;N;ACTIVO;M;1
15_to_30;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;<25;Activo;S;25000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;6000;4;HIPOTECA;PERSONAL;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;9000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;1
>74;>10k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;5000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;1
50_to_75;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;25_to_30;Activo;S;4200;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;1
30_to_50;1k_to_4k;5k_to_10k;>50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;1200;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;0
50_to_75;8k_to_10k;3k_to_5k;<25y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Activo;S;8000;2;HIPOTECA;SALUD;Y;PASIVO;F;1
30_to_50;1k_to_4k;3k_to_5k;<25y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;N;6900;4;ALQUILER;INVERSIONES;N;PASIVO;F;5
15_to_30;<1k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;18000;4;ALQUILER;EDUCACIÓN;Y;PASIVO;F;0
50_to_75;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;6200;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;>10;25_to_30;Cancelado;N;4200;4;HIPOTECA;PERSONAL;N;ACTIVO;F;1
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;25_to_30;Cancelado;C;3000;3;ALQUILER;PERSONAL;N;ACTIVO;F;3
>74;4k_to_6k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;N;4800;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;<20k;20_to_40;5_to_10;<25;Activo;C;4800;3;ALQUILER;INVERSIONES;N;ACTIVO;M;2
>74;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;>100k;<20;<5;25_to_30;Cancelado;S;5000;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;17000;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;2
>74;>10k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;10800;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;8000;4;HIPOTECA;SALUD;N;ACTIVO;F;3
>74;>10k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;N;8000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;C;5000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;0
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;NA;<25;Activo;S;7400;4;ALQUILER;PERSONAL;Y;ACTIVO;F;5
30_to_50;1k_to_4k;<3k;<25y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Activo;C;2400;3;ALQUILER;PERSONAL;N;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;40_to_60;5_to_10;25_to_30;Cancelado;N;20000;4;HIPOTECA;PERSONAL;N;ACTIVO;M;3
15_to_30;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;<5;<25;Activo;C;20000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
50_to_75;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;C;6600;3;ALQUILER;INVERSIONES;Y;PASIVO;F;2
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;13600;2;ALQUILER;INVERSIONES;N;ACTIVO;F;1
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Cancelado;S;18000;4;ALQUILER;INVERSIONES;N;ACTIVO;M;1
